order,parameter,optimization-start,optimization-end,opt-trading-days,opt-trading-times,profit,max_draw_down
83,"{'upper': 1.8, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,4,-69196.82100000003,71641.21299999999
84,"{'upper': 1.8, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,4,-71212.84999999998,71986.15899999999
85,"{'upper': 1.8, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,4,-69207.30999999998,69980.61899999998
86,"{'upper': 1.8, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,4,-34879.06250000006,34879.06250000006
87,"{'upper': 1.8, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,4,-34879.06250000006,34879.06250000006
88,"{'upper': 1.8, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,4,-18162.269999999902,18162.269999999902
89,"{'upper': 1.9, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,0,0.0,0.0
90,"{'upper': 1.9, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,0,0.0,0.0
91,"{'upper': 1.9, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,0,0.0,0.0
92,"{'upper': 1.9, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,0,0.0,0.0
93,"{'upper': 1.9, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,0,0.0,0.0
94,"{'upper': 1.9, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,0,0.0,0.0
95,"{'upper': 1.9, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,0,0.0,0.0
96,"{'upper': 1.9, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,0,0.0,0.0
97,"{'upper': 2.0, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,0,0.0,0.0
98,"{'upper': 2.0, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,0,0.0,0.0
99,"{'upper': 2.0, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,0,0.0,0.0
100,"{'upper': 2.0, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,0,0.0,0.0
101,"{'upper': 2.0, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,0,0.0,0.0
102,"{'upper': 2.0, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,0,0.0,0.0
103,"{'upper': 2.0, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,0,0.0,0.0
104,"{'upper': 2.0, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,0,0.0,0.0
